Permission,CSAgents
- Access : Get Daily Report Data For Report,
- Access : Find Topup Transaction Chart,TRUE
- Access : Export Daily Report Csv,
- Access : Find Topup Transaction Table Bot,TRUE
- Access : Find Topup Transaction Table Admin,TRUE
- Access : Find Topup Transaction Table Reason,TRUE
- Access : Find Top 15 Affiliate,TRUE
- Access : Get Top 15 Affiliate,
- Access : Get Top 15 Affiliate Turnover,
- Access : Get Top 15 Affiliate Winlose,
- Access : Find Affiliate Monthly Report,TRUE
- Access : Create Export Csv Affiliate Monthly Report,
- Access : Find First Time Deposit Chart,TRUE
- Access : Find First Time Deposit Day,TRUE
- Access : Find First Time Deposit Month,TRUE
- Access : Export Csv Report Adjust User Wallet,
- Access : Export Csv Report Performance Promotion,
- Access : Report Adjust Wallet User,TRUE
- Access : Report Member Birthday,TRUE
- Access : Report Member Turnover Turnwinlose Summary Category Of Provider,TRUE
- Access : Report Member Turnover Turnwinlose Summary Game Category,TRUE
- Access : Report Member Turnover Turnwinlose Summary Game Provider,TRUE
- Access : Report Performance Promotion,TRUE
- Access : Report Received Promotion,TRUE
- Access : Export Csv File Report Withdraw Settlement Transaction,
- Access : Report Adjust Withdraw Settlement Transaction User,TRUE
- Access : Report Returning Players,TRUE
- Access : Report Find Kpi Admin Withdraw,TRUE
- Access : Report Returning Players Details,TRUE
- Access : View Daily Cashback,TRUE
- Access : Export Csv Report Kpi Admin Withdraw,
- Access : Export Csv Daily Cashback,
- Access : Export Csv Daily Cashback,
- Access : Export Csv Report Kpi Admin Withdraw Detail,
- Access : Report Get Kpi Admin Withdraw,TRUE
- Access : View Daily Rebate,TRUE
- Access : Export Csv Daily Rebate,
- Access : Find Export Data Daily Affiliate,TRUE
- Access : Find Monthly Rebate,TRUE
- Access : Find Monthly Cashback,TRUE
- Access : Find Daily Affiliate Search,TRUE
- Access : Find Top 50 Favorite Game,TRUE
- Access : Find Register Frequency,TRUE
- Access : Export-csv-monthly-cashback,
- Access : Export Csv Top 50 Favorite Game,
- Access : Export Csv Register Frequency,
- Access : View No Deposit Member,TRUE
- Access : Export-csv-monthly-rebate,
- Access : Export Csv Daily No Deposit Member,
- Access : Export Csv Data No Deposit Member,
- Access : Export Data Daily Rebate,
- Access : Export Data Daily Cashback,
- Access : Export Csv Daily Quest,
- Access : Find No Deposit User UNDEFINED Report,TRUE
- Access : Export Csv Deposit User Report,
- Access : Export Top Deposit,
- Access : Export Csv Web Daily Quest,
- Access : Find Top Deposit,TRUE
- Access : Find Daily Affiliate Search,TRUE
- Access : Find Top 100 Turn Over,TRUE
- Access : Search Top 100 UNDEFINED Turnover Report,TRUE
- Access : Find Daily Max Withdraw,TRUE
- Access : Export Csv Daily Max Withdraw,
- Access : Export Csv Top 100 Turnover Report,
